1670573161,24.28,50.457314, 3.925500
1670573249,24.50,50.457314, 3.925500
1670574426,26.70,50.457314, 3.925500
1670574601,25.44,50.457314, 3.925500
1670574949,24.75,50.457314, 3.925500
1670574961,24.65,50.457314, 3.925500
1670575321,24.31,50.457314, 3.925500
1670579282,22.40,50.457393, 3.925227
1670579642,22.29,50.457394, 3.925231
1670580002,22.23,50.457393, 3.925235
1670580361,22.25,50.457393, 3.925236
1670580721,22.28,50.457392, 3.925238
1670581081,22.32,50.457389, 3.925240
1670581441,22.38,50.457324, 3.925401
1670581801,22.40,50.457323, 3.925401
1670582161,22.43,50.457322, 3.925402
1670582521,22.45,50.457321, 3.925401
1670582881,22.49,50.457323, 3.925402
1670583241,22.51,50.457322, 3.925403
1670583601,22.56,50.457322, 3.925402
1670583961,22.58,50.457321, 3.925403
1670584321,22.62,50.457321, 3.925403
1670584681,22.61,50.457319, 3.925404
1670585401,22.71,50.457319, 3.925404
1670585761,22.75,50.457319, 3.925404
1670586121,22.74,50.457319, 3.925404
1670586481,22.70,50.457556, 3.924969
1670586841,22.70,50.457186, 3.925401
1670587201,22.74,50.457191, 3.925391
1670587561,22.73,50.457192, 3.925395
1670587921,22.71,50.457194, 3.925395
1670588281,22.67,50.457198, 3.925398
1670588641,22.62,50.457202, 3.925399
1670589001,22.66,50.457205, 3.925398
1670589361,22.71,50.457206, 3.925400
1670589721,22.70,50.457206, 3.925400
1670590081,22.69,50.457207, 3.925397
1670590441,22.62,50.457216, 3.925379
1670590801,22.60,50.457216, 3.925379
1670591161,22.59,50.457221, 3.925368
1670591521,22.59,50.457231, 3.925364
1670591881,22.63,50.457233, 3.925363
1670592241,22.62,50.457233, 3.925363
1670592601,22.58,50.457233, 3.925363
1670592961,22.60,50.457236, 3.925358
1670593321,22.58,50.457236, 3.925358
1670593681,22.53,50.457236, 3.925358
1670594041,22.52,50.457170, 3.925387
1670594406,22.51,50.457216, 3.925337
1670594761,22.50,50.457244, 3.925335
1670595121,22.48,50.457244, 3.925335
1670595481,22.47,50.457454, 3.925309
1670595841,22.45,50.457484, 3.925348
1670596201,22.49,50.457480, 3.925344
1670596561,22.48,50.457480, 3.925343
1670596922,22.50,50.457479, 3.925341
1670597281,22.48,50.457468, 3.925344
1670597641,22.47,50.457467, 3.925344
1670598001,22.47,50.457455, 3.925341
1670598362,22.46,50.457450, 3.925339
1670598722,22.47,50.457450, 3.925336
1670599082,22.51,50.457450, 3.925336
1670599442,22.52,50.457451, 3.925334
1670599802,22.55,50.457439, 3.925335
1670600162,22.55,50.457436, 3.925336
1670600522,22.54,50.457435, 3.925336
1670600882,22.56,50.457434, 3.925335
1670601242,22.55,50.457445, 3.925333
1670601602,22.54,50.457445, 3.925333
1670601962,22.51,50.457446, 3.925332
1670602322,22.51,50.457446, 3.925331
1670602682,22.47,50.457444, 3.925333
1670603042,22.45,50.457442, 3.925334
1670603402,22.42,50.457442, 3.925335
1670603762,22.42,50.457442, 3.925335
1670604122,22.35,50.457443, 3.925335
1670604482,22.34,50.457443, 3.925335
1670604842,22.32,50.457443, 3.925335
1670605202,22.32,50.457443, 3.925335
1670605562,22.30,50.457443, 3.925335
1670605923,22.27,50.457443, 3.925335
1670606282,22.26,50.457443, 3.925335
1670606642,22.24,50.457443, 3.925335
1670607002,22.27,50.457443, 3.925335
1670607362,22.28,50.457206, 3.925340
1670607722,22.26,50.457240, 3.925335
1670608082,22.20,50.457283, 3.925309
1670608442,22.17,50.457283, 3.925309
1670608802,22.12,50.457368, 3.925216
1670609161,22.09,50.457403, 3.925205
